year,census_subdivision_code,municipality_name_raw,municipality_type,population,quality_status,source_file,source_sheet
2022,4802008,Raymond1 *,T,4455,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802008,Raymond1 *,T,4505,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802008,Raymond1 *,T,4526,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802008,Raymond1 *,T,4600,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802009,Stirling,VL,1001,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802009,Stirling,VL,992,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802009,Stirling,VL,1026,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802009,Stirling,VL,1037,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802009,Stirling,VL,1061,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802009,Stirling,VL,1205,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802009,Stirling,VL,1209,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802009,Stirling,VL,1243,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802009,Stirling,VL,1312,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802009,Stirling,VL,1350,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802011,Lethbridge County3 *,MD,10613,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802011,Lethbridge County3 *,MD,10580,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802011,Lethbridge County3 *,MD,10795,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802011,Lethbridge County3 *,MD,10793,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802011,Lethbridge County3 *,MD,10893,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802011,Lethbridge County3 *,MD,10463,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802011,Lethbridge County3 *,MD,10529,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802011,Lethbridge County3 *,MD,10660,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802011,Lethbridge County3 *,MD,10827,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802011,Lethbridge County3 *,MD,10988,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802012,Lethbridge,CY,95521,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802012,Lethbridge,CY,97241,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802012,Lethbridge,CY,99011,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802012,Lethbridge,CY,100761,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802012,Lethbridge,CY,102239,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802012,Lethbridge,CY,102097,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802012,Lethbridge,CY,103925,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802012,Lethbridge,CY,107042,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802012,Lethbridge,CY,111776,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802012,Lethbridge,CY,113671,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802013,Coalhurst,T,2755,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802013,Coalhurst,T,2791,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802013,Coalhurst,T,2843,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802013,Coalhurst,T,2927,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802013,Coalhurst,T,2998,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802013,Coalhurst,T,2994,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802013,Coalhurst,T,3106,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802013,Coalhurst,T,3167,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802013,Coalhurst,T,3227,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802013,Coalhurst,T,3244,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802014,Nobleford,T,1317,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802014,Nobleford,T,1312,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802014,Nobleford,T,1292,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802014,Nobleford,T,1402,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802014,Nobleford,T,1446,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802014,Nobleford,T,1495,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802014,Nobleford,T,1561,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802014,Nobleford,T,1628,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802014,Nobleford,T,1650,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802014,Nobleford,T,1694,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802016,Barons,VL,350,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802016,Barons,VL,315,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802016,Barons,VL,325,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802016,Barons,VL,301,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802016,Barons,VL,288,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802016,Barons,VL,324,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802016,Barons,VL,325,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802016,Barons,VL,326,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802016,Barons,VL,327,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802016,Barons,VL,334,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802018,Picture Butte,T,1860,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2017,4802018,Picture Butte,T,1812,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2018,4802018,Picture Butte,T,1858,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2019,4802018,Picture Butte,T,1944,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2020,4802018,Picture Butte,T,2045,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2021,4802018,Picture Butte,T,2008,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2022,4802018,Picture Butte,T,2130,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2023,4802018,Picture Butte,T,2277,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2024,4802018,Picture Butte,T,2369,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2025,4802018,Picture Butte,T,2380,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
2016,4802019,Coaldale3 *,T,8461,reported_value,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,Sheet1
